Date,Buying_price,Selling_price
2024-05-01 00:00:02,83000000,85200000
2024-05-02 00:00:02,83000000,85200000
2024-05-02 08:24:02,82500000,84700000
2024-05-02 10:04:01,82600000,84800000
2024-05-02 10:12:02,82800000,85000000
2024-05-02 11:14:02,82900000,85100000
2024-05-03 00:00:02,82900000,85100000
2024-05-03 08:30:02,82900000,85200000
2024-05-03 10:34:02,83000000,85300000
2024-05-03 11:12:02,83200000,85500000
2024-05-03 11:32:02,83500000,85800000
2024-05-04 00:02:53,83500000,85800000
2024-05-04 08:36:01,83500000,85900000
2024-05-05 00:00:02,83500000,85900000
2024-05-06 00:58:01,83500000,85900000
2024-05-06 08:28:02,83800000,86000000
2024-05-06 09:22:01,84000000,86200000
2024-05-06 10:46:01,83800000,86000000
2024-05-06 11:08:02,83700000,85900000
2024-05-06 14:04:01,83800000,86000000
2024-05-06 14:34:06,83900000,86100000
2024-05-06 14:40:01,84100000,86300000
2024-05-06 14:46:01,84300000,86500000
2024-05-07 00:00:02,84300000,86500000
2024-05-07 08:28:02,84600000,86800000
2024-05-07 09:06:01,84700000,86900000
2024-05-07 09:12:02,84800000,87000000
2024-05-07 09:38:02,85000000,87200000
2024-05-07 10:02:02,85200000,87400000
2024-05-07 10:04:01,85300000,87500000
2024-05-08 00:00:02,85300000,87500000
2024-05-08 08:26:02,85100000,87300000
2024-05-08 08:40:02,85000000,87200000
2024-05-08 11:06:01,85200000,87500000
2024-05-09 00:00:02,85200000,87500000
2024-05-09 08:32:01,85700000,88000000
2024-05-09 08:42:01,85900000,88200000
2024-05-09 08:50:01,86000000,88300000
2024-05-09 09:22:01,86200000,88500000
2024-05-09 09:58:07,86400000,88700000
2024-05-09 11:20:01,86500000,88800000
2024-05-09 13:18:02,86800000,89100000
2024-05-09 14:24:02,87000000,89300000
2024-05-09 15:04:02,87200000,89500000
2024-05-10 00:00:07,87200000,89500000
2024-05-10 08:38:01,88200000,90500000
2024-05-10 09:40:03,88500000,90800000
2024-05-10 10:20:02,88900000,91200000
2024-05-10 10:42:03,89500000,91800000
2024-05-10 11:02:02,89700000,92000000
2024-05-10 13:26:01,89900000,92200000
2024-05-10 14:14:02,90100000,92400000
2024-05-11 00:00:02,90100000,92400000
2024-05-11 09:48:01,88800000,91300000
2024-05-12 00:00:03,88800000,91300000
2024-05-13 00:00:03,88800000,91300000
2024-05-13 08:30:02,85500000,88500000
2024-05-13 10:06:02,85800000,88800000
2024-05-13 10:14:01,86000000,89000000
2024-05-13 10:22:02,86500000,89500000
2024-05-13 10:34:02,87500000,90000000
2024-05-13 11:28:02,88000000,90400000
2024-05-13 13:20:01,88000000,90500000
2024-05-13 14:16:02,87500000,90000000
2024-05-14 00:00:03,87500000,90000000
2024-05-14 08:26:02,86000000,89000000
2024-05-15 00:00:03,86000000,89000000
2024-05-15 08:28:01,87300000,89800000
2024-05-15 10:30:02,87500000,90000000
2024-05-15 15:32:02,87700000,90200000
2024-05-16 00:00:02,87700000,90200000
2024-05-16 08:32:01,87900000,90400000
2024-05-16 09:18:01,87700000,90200000
2024-05-16 09:44:02,87500000,90000000
2024-05-17 00:00:03,87500000,90000000
2024-05-17 08:34:07,87400000,89900000
2024-05-17 13:44:02,87500000,90000000
2024-05-18 00:00:03,87500000,90000000
2024-05-18 08:28:01,87700000,90400000
2024-05-19 00:00:02,87700000,90400000
2024-05-20 00:00:03,87700000,90400000
2024-05-20 08:30:02,88400000,90400000
2024-05-20 08:42:02,88600000,90600000
2024-05-20 11:06:02,88700000,90700000
2024-05-20 11:22:01,88800000,90800000
2024-05-20 14:10:01,88900000,90900000
2024-05-20 14:54:01,89000000,91000000
2024-05-21 00:00:03,89000000,91000000
2024-05-21 08:32:01,88800000,90800000
2024-05-21 08:56:02,88700000,90700000
2024-05-21 09:10:02,88500000,90500000
2024-05-21 14:44:02,88600000,90600000
2024-05-21 15:46:02,88700000,90700000
2024-05-22 00:00:02,88700000,90700000
2024-05-22 08:26:02,88900000,90900000
2024-05-23 00:02:07,88900000,90900000
2024-05-23 08:32:02,88000000,90000000
2024-05-23 08:56:02,87800000,89800000
2024-05-24 00:00:03,87800000,89800000
2024-05-24 08:20:01,87500000,89500000
2024-05-25 00:00:03,87500000,89500000
2024-05-26 00:04:02,87500000,89500000
2024-05-27 00:00:03,87500000,89500000
2024-05-27 08:28:07,87600000,89600000
2024-05-27 09:58:01,87700000,89700000
2024-05-27 14:00:03,87800000,89800000
2024-05-27 15:36:01,87900000,89900000
2024-05-28 00:00:03,87900000,89900000
2024-05-28 08:30:02,88400000,90400000
2024-05-28 10:22:02,88500000,90500000
2024-05-29 00:00:02,88500000,90500000
2024-05-29 08:16:01,88900000,90900000
2024-05-29 14:34:02,88800000,90800000
2024-05-29 14:52:07,88600000,90600000
